Entity	Description	TYPES	TYPES	TYPES	TYPES	BELONGS TO	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED AS	USED AS	RELATED TO	RELATED TO	RELATED TO	RELATED TO	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	ALSO KNOWN AS	CAUSED BY	CAUSED BY	CAUSED BY	CAUSED BY	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	BRAND NAME	BRAND NAME	BRAND NAME	BRAND NAME	SYMPTOM OF	SYMPTOM OF	ORIGINATED FROM	ORIGINATED FROM	NATURAL HABITAT	NATURAL HABITAT	PRECURSOR TO	CONTAINS	CONTAINS	CONTAINS	CONTAINS
Alendronate	Alendronate is a medication used to treat osteoporosis and Paget's disease of the bone. It works by preventing the breakdown of bone and increasing bone density.	Drug	Bisphosphonate medication				Osteoporosis	Paget's disease of the bone																																	Fosamax	Binosto													
Alertness	The definition of alertness is the state of being watchful and attentive.	State of being																	Situational awareness																																				
Alfalfa	Alfalfa is a perennial flowering plant in the pea family Fabaceae. It is cultivated as an important forage crop in many countries around the world. The name alfalfa is used in North America, Australia, New Zealand, South Africa and Spain. The plant is also known as lucerne in the United Kingdom, France, Germany, Portugal, Italy, Scandinavia, East Asia, South Asia and in other parts of the world.  Alfalfa is a highly nutritious forage crop that is used as feed for livestock. The leaves and stems are rich in protein, vitamins and minerals. Alfalfa is also a good source of fiber. The plant is very drought tolerant and can be grown in a wide range of climates.  Alfalfa is a perennial plant that can grow to a height of 3 feet (1 meter). The leaves are green and the flowers are purple. The plant blooms in the summer and fall. Alfalfa is native to the Mediterranean region but it is now grown in many parts of the world.	Plant	Flowering plant										Cover crop	Forage for livestock																																									
Aliskiren	Aliskiren is a direct renin inhibitor. It works by blocking the action of renin, a substance in the body that is involved in the regulation of blood pressure.	Drug	Renin inhibitor																																																				
Alkylating agents	Alkylating agents are a class of chemotherapy drugs that work by binding to DNA and preventing it from being able to replicate.	Drugs	Chemotherapy medication					Cancer cells																																															
Allegra	Allegra is a brand name for the medication fexofenadine, which is used to treat allergies.	Drug	Antihistamine				Allergies	Sneezing	Watery eyes	Runny nose	Hives		Itching reliever																																										
Allergic reactions	An allergic reaction is a response of the body to a foreign substance, called an allergen, that is perceived as a threat. The body's response is to release chemicals, such as histamine, that cause the symptoms of an allergy.	Response of the body																	Histamine																																				
Allergic rhinitis	Allergic rhinitis is a condition in which the person has an allergy to something in their environment, such as pollen, dust, or animal dander. This can cause symptoms such as sneezing, a runny nose, and itchy, watery eyes.	Health condition																							Pollen	Dust	Animal bander		Sneezing	Itching	Runny nose																								
Alli	Alli is a weight loss supplement that is designed to help people lose weight by preventing the absorption of fat from the food they eat.	Drug	Over-the-counter medicine				Weight loss																																																
Allulose	Allulose is a type of sugar that is found in some fruits and vegetables. It is about 70% as sweet as table sugar, but it does not have the same effect on blood sugar levels. Allulose is absorbed more slowly than other types of sugar, so it does not cause a spike in blood sugar levels.	Sugar																																																					
Almonds	The almond is a species of tree native to the Middle East, the Indian subcontinent and North Africa. Almonds are also the name of the edible and widely cultivated seed of this tree. Within the genus Prunus, it is classified with the peach in the subgenus Amygdalus, distinguished from the other subgenera by corrugations on the shell (endocarp) surrounding the seed.	Nuts					Nutrition						Food																																										
Aloe	The Aloe plant is a succulent plant that is native to Africa. It has long, fleshy leaves that are green in color and have serrated edges. The leaves of the Aloe plant are used to make a variety of products, including Aloe vera gel, which is used for its medicinal properties.	Plant	Succulent plant				Medicinal properties	Burns	Wounds																																														
Alopecia areata	Alopecia areata is a condition that causes hair loss. The hair may fall out in patches or all over the scalp.	Health condition																	Hair loss	Baldness																																			
Alpha-4-beta-2 receptor	The Alpha-4-beta-2 receptor is a subtype of nicotinic acetylcholine receptor that is widely distributed in the brain.	Nicotinic acetylcholine receptor																	Central nervous system	Nicotine																																			
Alpha-GPC	Alpha-GPC is a cholinergic compound that is used for its cognitive-promoting effects, and is also a precursor to the neurotransmitter acetylcholine. It is commonly used as a nootropic supplement to improve memory and cognitive function.	Chemical compound	Cholinergic compound	Supplement			Alzheimer's disease	Cognitive decline											Cognitive processes	Memory	Cognitive performance																																		
Alpha-lipoic acid	Alpha-lipoic acid is a fatty acid that is found in every cell in the body. It is needed for the proper function of enzymes that are involved in energy production.	Organic compound	Prescription medicine	Supplement			Diabetes	Memory loss	Alzheimer's disease	Vision loss	Heart disease	Polyneuropathy							Metabolism					Thioctic acid											Spinach	Broccoli	Potato																		
ALS - Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease that affects nerve cells in the brain and the spinal cord. Motor neurons reach from the brain to the spinal cord and from the spinal cord to the muscles throughout the body. The progressive degeneration of the motor neurons in ALS eventually leads to their death. When the motor neurons die, the ability of the brain to initiate and control muscle movement is lost. With voluntary muscle action progressively affected, patients in the later stages of the disease may become totally paralyzed.	Health condition	Neurodegenerative disease																																																				
Alternate-day fasting	Some people define alternate-day fasting as consuming no calories or very few calories (usually less than 500 calories) on one day, followed by eating normally the next day. Others define it as fasting for 24 hours followed by eating normally for 24 hours.	Intermittent fasting																																																					
Altitude sickness	Altitude sickness is a condition that can occur when you travel to high altitudes, usually 8,000 feet (2,438 meters) or more above sea level. It most often occurs when people travel quickly from lower altitudes to higher altitudes, such as when they travel from sea level to high mountains.	Health condition																																																					
Altoprev	Altoprev is a brand name for the prescription medication lodoz, which is used to treat high blood pressure and heart failure.	Drug	Prescription medicine	Beta blocker			High blood pressure																																																
Aluminum	A chemical element with the symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic, ductile metal in the boron group. By mass, aluminium makes up about 8% of the Earth's crust; it is the third most abundant element after oxygen and silicon and the most abundant metal in the crust, though it is less common in the mantle below. The chief ore of aluminium is bauxite.	Chemical element	Metals																																																				
Alzheimer's disease	Alzheimer's disease is a progressive, degenerative disease of the brain that is characterized by loss of memory and deterioration of other cognitive functions.	Disease	Neurodegenerative disease	Dementia															Central nervous system	Memory loss	Cognitive decline																																		
AMD - Age-related macular degeneration	Age-related macular degeneration (AMD) is a health condition that affects a person's vision. It is the leading cause of blindness in people over the age of 50. AMD occurs when the macula, the part of the eye that allows us to see fine details, deteriorates. This can lead to a loss of central vision.	Health condition	Degenerative condition																										Loss of central vision																										
American ginseng	This American ginseng plant (Panax quinquefolius) is a perennial herb that grows in the eastern United States and Canada. It has dark green, deeply lobed leaves and small, greenish-white flowers. The plant produces a small, red fruit that contains seeds. Ginseng roots are used in traditional Chinese medicine and are also sold as a dietary supplement.	Plant	Panax	Araliaceae																																																			
American trypanosomiasis	American trypanosomiasis, also known as Chagas disease, is a parasitic infection caused by the protozoan Trypanosoma cruzi. The infection is typically spread by contact with the feces of infected triatomine bugs, and can also be spread through blood transfusions, organ transplants, and from mother to child during pregnancy. Symptoms of Chagas disease can be mild, and may not appear for years after infection. However, the disease can also be severe, and can lead to heart failure, gastrointestinal problems, and death.	Disease	Infection	Parasitic infection																					Trypanosoma cruzi parasite				Fever	Fatigue	Body aches	Headaches	Heart failure	Death																					
Amiloride	Amiloride is a potassium-sparing diuretic that is used to treat high blood pressure and congestive heart failure. It works by preventing the body from absorbing too much salt and potassium.	Drug	Diuretic	Potassium-sparing diuretic			High blood pressure	Congestive heart failure											Fluid retention																																				
Amino acids	Amino acids are the building blocks of proteins.	Chemical compound	Oraganic compound																Protein																																				
Amiodarone	Amiodarone is a medication used to treat irregular heartbeats. It is in a class of drugs called antiarrhythmics.	Drug	Antiarrhythmics				Irregular heartbeats												Electrical system of the heart																																				
Amlodipine	Amlodipine is a medication used to treat high blood pressure and chest pain. It is in a class of drugs called calcium channel blockers.	Drug	Calcium channel blockers			Calcium channel blockers	High blood pressure	Chest pain																																															
Amphetamine	Amphetamine is a central nervous system stimulant that is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. It is also used as an athletic performance enhancer and cognitive enhancer, and recreationally as an aphrodisiac and euphoriant.	Drug	Stimulant medication				ADHD - Attention deficit hyperactivity disorder	Narcolepsy					Performance-enchancing drug																																										
AMPK - Adenosine monophosphate-activated protein kinase	AMPK is an enzyme that is activated by adenosine monophosphate (AMP). AMPK plays a role in regulating energy balance in cells by promoting glucose uptake and fatty acid oxidation.	Enzyme																	Metabolism																																				
Amprenavir	Amprenavir is a protease inhibitor used to treat HIV infection.	Drug	Protease inhibitor				HIV infection																																																
Amygdala	The amygdala is a small, almond-shaped structure located deep within the brain's medial temporal lobe. It is considered to be part of the limbic system, which is a group of brain structures that are involved in emotion and memory.	Brain part																	Behavior	Emotion	Long-term memory																																		
Anaerobic training	Anaerobic training is a type of exercise that is performed at a high intensity for a short period of time. This type of training requires the body to use energy from stored sources, such as glycogen, rather than from oxygen.	Physical activity	Exercise																Speed	Power																																			
Anafranil	Anafranil is a tricyclic antidepressant (TCA) that is used to treat depression and anxiety disorders. It is thought to work by increasing the levels of serotonin and norepinephrine in the brain.	Drug	Tricyclic antidepressant				OCD - Obsessive-compulsive disorder												Brain chemicals																																				
Anaphylaxis	Anaphylaxis is a severe, potentially life-threatening allergic reaction.	Allergic reaction																							Food	Medications	Insect stings	Latex																											
Anatomy	The study of the structure and relationships of the body's organs and tissues	Study																																																					
Ancestors	Ancestors are the people in your family who lived before you.																																																						
Androgen receptors	Androgen receptors are a type of protein found in the cells of the body that bind to androgens (hormones that stimulate or control the development and maintenance of male characteristics) and mediate their effects.	Protein																	Male development	Testosterone	Androgens																																		
Androgens	Androgens are hormones that promote the development and maintenance of male characteristics.	Hormones																	Male development	Testosterone																																			
Andrographis	Andrographis paniculata is an annual herb that grows to a height of 2-3 feet. The leaves are lanceolate, and the flowers are white or pale blue. The fruits are small, black, and spherical.	Plant					Traditional medicine																																																
Anemia	Anemia is a health condition in which there is a decrease in the number of red blood cells or hemoglobin in the blood. This can cause fatigue, pale skin, and shortness of breath.	Health condition																	Red blood cells																																				
Anemia of chronic disease	Anemia of chronic disease is a health condition in which the body does not produce enough red blood cells. This can lead to fatigue, shortness of breath, and other symptoms.	Health condition																	Red blood cells																																				
Angina	Angina is a type of chest pain that occurs when the blood flow to the heart muscle is reduced. This can happen due to blockages in the coronary arteries, which supply blood to the heart. Angina can be a symptom of coronary heart disease, which is the leading cause of death in the United States.	Health condition																	Blood flow																										Coronary artery disease										
Angiotensin-converting enzyme inhibitors	Angiotensin-converting enzyme inhibitors are a class of drugs used to treat hypertension, heart failure, and myocardial infarction.	Drugs					Hypertension	Congestive heart failure	Heart attack																																														
Anorexia nervosa	Anorexia nervosa is an eating disorder that is characterized by an intense fear of gaining weight, self-starvation, and excessive weight loss.	Health condition																	Fear of gaining weight	Self-starvation	Obsessive focus on weight and body shape																																		
Ansaid	Ansaid is a brand name for the prescription drug flurbiprofen, which is a nonsteroidal anti-inflammatory drug (NSAID).	Drug	NSAIDs - Nonsteroidal anti-inflammatory drugs				Pain	Inflammation																																															
Antabuse	Antabuse is a medication that is used to treat alcoholism. It works by causing unpleasant side effects when alcohol is consumed, such as nausea and vomiting. This helps to discourage people from drinking.	Drug	Aversive therapy				Chronic alcoholism																																																
Antacids	Antacids are a class of drugs used to treat conditions caused by excess stomach acid, such as heartburn, ulcers, and gastroesophageal reflux disease (GERD).	Drug					Heartburn	Indigestion	Upset stomach										Stomach acid																																				
Anthocyanins	Anthocyanins are a type of flavonoid, which are plant pigments that have been shown to have health benefits. They are found in a variety of fruits and vegetables, and give them their red, purple, or blue color. Anthocyanins have been shown to have antioxidant, anti-inflammatory, and anticancer properties.	Chemical compound	Plant-based compounds	Flavonoid																															Fruits	Vegetables																			
Anthracycline	An anthracycline is a type of chemotherapy medication that is used to treat cancer.	Drug					Cancer												Chemotherapy	Radiation therapy																																			
Anti-aging	The definition of anti-aging is the process of slowing down or reversing the effects of aging.																																																						
Anti-cancer	The definition of anti-cancer is a substance that helps to prevent or treat cancer.																																																						
Antibacterial	The definition of antibacterial is a substance that kills bacteria or inhibits their growth.	Drugs																																																					
Antibiotics	Antibiotics are drugs that are used to treat infections caused by bacteria.	Drugs					Bacterial infections																																																
Anticholinergic drugs	Anticholinergic drugs are drugs that block the neurotransmitter acetylcholine.	Drugs					Asthma	COPD - Chronic obstructive pulmonary disease	Urinary incontinence	Dry mouth									Acetylcholine																																				
Anticoagulants	Anticoagulants are drugs that prevent the formation of blood clots.	Drugs																																																					
Antidepressant	A medication used to treat depression.	Drugs																																																					
Antifeedants	Antifeedants are substances that deter animals from eating plants.						Animal repellents	Rat poison																																															
Antifungals	Antifungals are drugs that are used to treat fungal infections.	Drugs																																																					
Antihyperglycemic	The definition of antihyperglycemic is a medication that is used to treat high blood sugar levels.	Drugs																																																					
Antioxidant	An antioxidant is a molecule that inhibits the oxidation of other molecules.																																																						
Antitumor antibiotics	Antitumor antibiotics are drugs that are used to treat cancer.	Drugs																																																					
Apha-GPC	Apha-GPC is a nootropic supplement that has been shown to improve cognitive function and memory. It is thought to work by increasing levels of acetylcholine, a neurotransmitter that is important for learning and memory.																																																						
Apigenin	Apigenin is a plant compound that is found in a variety of fruits and vegetables. It has a variety of health benefits, including reducing inflammation and protecting against cancer.	Chemical compound	Plant-based compounds				Inflammation	Heart health					Anti-cancer	Supplement																					Fruits	Vegetables																			
APOE-4 gene	The APOE-4 gene is a gene that codes for a protein called apolipoprotein E. This protein is involved in the metabolism of cholesterol and other lipids. People who have two copies of the APOE-4 gene (one from each parent) are at increased risk for developing Alzheimer's disease.																																																						
App	An app is a software application designed to run on a mobile device, such as a smartphone or tablet.																																																						
Appetite	The definition of appetite is a natural desire to satisfy a bodily need, especially for food.																																																						
Apple	A fruit that is round, red, and has a green stem.	Fruit											Food																																										
Apple juice	Apple juice is a type of fruit juice made by extracting the juice from apples.																																																						
ARBs - Angiotensin II receptor blockers	Angiotensin II receptor blockers (ARBs) are a class of medications used to treat high blood pressure. ARBs work by blocking the action of angiotensin II, a hormone that causes blood vessels to narrow. This helps to relax the blood vessels and lower blood pressure.	Drugs					High blood pressure												Angiotensin II																																				
Arnica	The Arnica plant is a perennial herb that is native to Europe and Asia. It has yellow or orange flowers and grows to a height of about two feet. The leaves are lance-shaped and the flowers have five petals. Arnica is used in herbal medicine to treat bruises, swelling, and pain.	Plant																																																					
Aromatase	Aromatase is an enzyme that is responsible for the conversion of androgens into estrogens.																																																						
Aromatase inhibitors	Aromatase inhibitors are drugs that block the action of the enzyme aromatase. Aromatase is responsible for converting androgens into estrogens.	Drugs																																																					
Ashwagandha	This Ashwagandha plant is an evergreen shrub that can grow up to 1.5 meters tall. It has long, thin leaves and small white flowers. The roots of the plant are thick and fleshy, and they are used in traditional medicine. Ashwagandha is native to India and Sri Lanka, and it has been used in Ayurvedic medicine for centuries.	Plant											Herb																																										
Asian ginseng	Asian ginseng is a plant that is native to China and Korea. It is used in traditional Chinese medicine to treat a variety of conditions.																																																						
Asparagus	Asparagus is a vegetable that is part of the lily family. It is a perennial plant that grows in many parts of the world and has been cultivated for centuries. The asparagus plant has long, thin, green stems and small, green flowers. The edible part of the plant is the young shoot, which is harvested in the spring.																																																						
Asthma	Asthma is a chronic lung condition that causes wheezing, coughing, chest tightness, and shortness of breath. Asthma can be triggered by environmental factors such as pollen, dust, smoke, or cold air.	Health condition																																																					
Atazanavir	Atazanavir is a prescription medication used to treat HIV infection. It belongs to a class of drugs called protease inhibitors.	Drug																																																					
Attention	The definition of attention is the ability to focus on a particular stimulus.																																																						
Auditory learning	Auditory learning is a type of learning that occurs when someone hears and remembers information.																																																						
Autoimmunity	Autoimmunity is a health condition in which the body's immune system attacks and destroys healthy body tissue.	Health condition																																																					
Autonomic arousal	Autonomic arousal is the activation of the autonomic nervous system in response to a stimulus. This can be either a positive or negative response, depending on the nature of the stimulus.																																																						
Autophagy	Autophagy is the process by which cells break down and recycle their own components.																																																						
Avocado	The avocado is a tree that is native to Mexico and Central America. The fruit of the avocado tree is green and pear-shaped. Avocados are a good source of vitamins C, E, and K.	Fruit											Food																																										
Ayurvedic medicine	Ayurvedic medicine is a system of medicine with historical roots in the Indian subcontinent. Globalized and modernized practices derived from Ayurveda traditions are a type of complementary or alternative medicine.																																																						
B. lactis	B. lactis is a species of lactic acid bacteria that is commonly used in the production of cheese and yogurt. It is also a common probiotic, meaning it is beneficial for gut health.	Bacteria																																																					
Bacillus coagulans	Bacillus coagulans is a species of Gram-positive, rod-shaped bacteria. It is a member of the genus Bacillus, which also includes the well-known pathogen Bacillus anthracis. B. coagulans is a mesophilic bacterium, meaning it grows best at moderate temperatures. It is found in soil, water, and air. This bacterium is known for its ability to produce lactic acid, which gives it a sour taste. It is also used as a probiotic, meaning it is beneficial for human health.	Bacteria																																																					
Bagel	A bagel is a type of bread that is round with a hole in the middle. It is boiled before it is baked, which gives it a chewy texture. Bagels are often eaten with cream cheese or lox (smoked salmon).																																																						
Balance	The definition of balance is the distribution of weight or matter evenly between the two sides of something.																																																						
Banana	A banana is a sweet, yellow fruit that is often eaten as a snack.	Fruit											Food																																										
Barley	This barley plant has long, slender leaves that are a deep green in color. The plant produces small, pale green flowers that grow in clusters. The flowers are followed by small, dark brown seeds.	Plant					Beer	Animal feed					Food																																										
Beta blocker	A beta blocker is a type of medication that is used to treat a variety of conditions, including high blood pressure, heart failure, and migraines. Beta blockers work by blocking the effects of the hormone epinephrine, which can help to improve blood flow and reduce the heart rate.	Drugs																																																					
Beta-adrenergic agonists	A beta-adrenergic agonist is a drug that stimulates the beta-adrenergic receptors. These drugs are used to treat a variety of conditions, including asthma, COPD, and heart failure.	Drugs																																																					
Beta-alanine	Beta-alanine is an amino acid that is used by the body to synthesize carnosine, a molecule that helps to regulate acidity levels in muscles and improve exercise performance.	Amino acids											Supplement						Carnosine																Meat	Fish																			
Beta-carotene	A pigment found in plants that is a precursor to vitamin A.	Plant pigment																	Vitamin A																Potatoe	Pumpkin	Carrot																		
Beta-endorphins	Beta-endorphins are endogenous opioid peptides that are produced by the pituitary gland and the hypothalamus in the brain. They are released in response to stress and pain, and they act on the opioid receptors in the brain to produce analgesia and a sense of well-being.																																																						
Betel nut	The betel nut is the seed of the Areca catechu tree. It is often chewed with betel leaves as a stimulant.																																																						
BHB - Beta-hydroxybutyrate	BHB is a ketone body that is produced by the liver during periods of fasting or carbohydrate restriction. It is used by the body for energy production, and is a substrate for ketogenesis.																																																						
Bifidobacterium animalis subsp. lactis	Bifidobacterium animalis subsp. lactis is a Gram-positive, rod-shaped bacterium that is a member of the phylum Firmicutes. It is a commensal organism that is often found in the gastrointestinal tract of mammals, including humans. B. animalis subsp. lactis is a producer of lactic acid, and it has been shown to have probiotic properties.	Bacteria	Probiotic										Supplement																																										
Bilberry	Bilberry is a small, round, dark blue fruit that is related to the blueberry. Bilberries are native to Europe and Asia and have been used for centuries in traditional medicine. Bilberries contain high levels of antioxidants and are thought to be beneficial for a variety of health conditions, including diabetes, eye health, and cancer.	Fruit					Traditional medicine						Medicine																																										
Biltricide	Biltricide is a medication used to treat parasitic infections.	Drug																																																					
Binaural beats	Binaural beats are auditory illusions perceived when two different pure-tone sine waves, both with frequencies lower than 1500 Hz, with less than a 40 Hz difference between them, are presented to a listener dichotically (one through each ear).																																																						
Binding protein	A binding protein is a type of protein that is involved in binding other molecules.																																																						
Binge eating	Binge eating is an eating disorder in which a person consumes large amounts of food in a short period of time, often to the point of feeling uncomfortably full. Binge eating disorder is different from overeating or bulimia, which are also characterized by excessive eating.	Health condition																											Binge eating disorder	Obesity																									
Binge eating disorder	Binge eating disorder is a health condition characterized by episodes of overeating or bingeing. This may be followed by feelings of guilt, shame, or embarrassment. Binge eating disorder is a serious health condition that can lead to obesity and other health problems.	Health condition																																																					
Bioavailability	The bioavailability of a drug is a measure of the extent to which the drug is absorbed and available for use by the body.																																																						
